ID,Sex,Twin,BirthYear,Survival,Lifespan,MotherID,FatherID,MumAge,DadAge,MumAgeClass,DadAgeClass,MumLifespan,DadLifespan
1717,Male,1,2003,0,0,476,228,3,7,AdultMum,AdultDad,3,9
1718,Male,1,2003,0,0,476,406,3,0,AdultMum,LambDad,3,0
1719,Female,0,2003,0,0,558,236,0,7,LambMum,AdultDad,6,8
1720,Male,0,2003,0,0,552,287,0,3,LambMum,AdultDad,2,5
1721,Male,0,2003,0,0,550,386,0,0,LambMum,LambDad,2,2
1722,Female,0,2003,1,8,405,334,6,2,AdultMum,AdultDad,11,4
1723,Female,0,2003,1,10,251,228,10,7,AdultMum,AdultDad,12,9
1724,Female,0,2003,1,8,505,310,2,3,AdultMum,AdultDad,9,5
1725,Female,0,2003,1,8,421,228,5,7,AdultMum,AdultDad,8,9
1726,Female,0,2003,1,11,578,297,1,3,AdultMum,AdultDad,10,7
1727,Female,0,2003,0,0,336,415,7,1,AdultMum,AdultDad,12,3
1728,Female,0,2003,1,8,413,369,5,3,AdultMum,AdultDad,9,3
1729,Female,0,2003,1,1,511,494,2,2,AdultMum,AdultDad,12,6
1730,Female,0,2003,1,5,453,312,3,3,AdultMum,AdultDad,5,5
1731,Male,0,2003,1,1,352,492,7,0,AdultMum,LambDad,9,2
1732,Female,0,2003,1,1,523,316,2,2,AdultMum,AdultDad,8,6
1733,Male,0,2003,1,1,530,305,1,3,AdultMum,AdultDad,10,7
1734,Female,0,2003,0,0,425,312,5,3,AdultMum,AdultDad,7,5
1735,Male,1,2003,1,1,473,333,3,2,AdultMum,AdultDad,5,7
1736,Male,1,2003,1,1,473,333,3,2,AdultMum,AdultDad,5,7
1737,Female,0,2003,1,1,437,368,4,3,AdultMum,AdultDad,12,7
1738,Male,0,2003,1,7,335,368,7,3,AdultMum,AdultDad,9,7
1739,Male,0,2003,1,7,399,316,6,2,AdultMum,AdultDad,8,6
1740,Male,0,2003,1,1,493,278,2,6,AdultMum,AdultDad,6,8
1741,Female,0,2003,1,3,487,487,3,3,AdultMum,AdultDad,10,7
1742,Female,0,2003,1,7,297,357,9,6,AdultMum,AdultDad,11,6
1743,Male,0,2003,1,1,289,228,9,7,AdultMum,AdultDad,10,9
1744,Male,0,2003,0,0,384,368,6,3,AdultMum,AdultDad,12,7
1745,Female,0,2003,1,8,434,287,4,3,AdultMum,AdultDad,8,5
1746,Female,0,2003,1,6,361,422,7,2,AdultMum,AdultDad,9,4
1747,Female,0,2003,1,1,404,423,6,3,AdultMum,AdultDad,11,3
1748,Male,0,2003,1,7,514,287,2,3,AdultMum,AdultDad,11,5
1749,Male,0,2003,0,0,534,316,2,2,AdultMum,AdultDad,6,6
1750,Female,0,2003,0,0,573,326,0,2,LambMum,AdultDad,5,10
1751,Female,0,2003,1,7,385,228,6,7,AdultMum,AdultDad,8,9
1752,Female,0,2003,0,0,576,312,0,3,LambMum,AdultDad,8,5
1753,Female,0,2003,1,1,468,287,3,3,AdultMum,AdultDad,10,5
1754,Female,0,2003,1,9,366,234,7,7,AdultMum,AdultDad,10,9
1755,Female,0,2003,1,7,484,493,3,2,AdultMum,AdultDad,8,6
1756,Female,0,2003,0,0,318,285,8,3,AdultMum,AdultDad,9,5
1757,Male,0,2003,1,6,355,319,7,2,AdultMum,AdultDad,15,3
1758,Male,0,2003,0,0,561,228,0,7,LambMum,AdultDad,9,9
1759,Male,0,2000,1,4,344,281,4,0,AdultMum,LambDad,6,5
1760,Male,0,2003,1,1,575,393,0,0,LambMum,LambDad,2,1
1761,Female,0,2004,0,0,448,287,4,4,AdultMum,AdultDad,6,5
1762,Male,0,2004,0,0,540,409,1,1,AdultMum,AdultDad,2,2
1763,Male,1,2004,0,0,433,312,5,4,AdultMum,AdultDad,6,5
1764,Female,1,2004,0,0,433,312,5,4,AdultMum,AdultDad,6,5
1765,Female,0,2004,0,0,414,468,6,6,AdultMum,AdultDad,9,9
1766,Male,0,2004,0,0,537,419,1,4,AdultMum,AdultDad,8,5
1767,Female,0,2004,0,0,549,312,1,4,AdultMum,AdultDad,9,5
1768,Male,1,2004,0,0,368,287,8,4,AdultMum,AdultDad,9,5
1769,Male,1,2004,0,0,368,228,8,8,AdultMum,AdultDad,9,9
1770,Male,0,2004,0,0,209,334,13,3,AdultMum,AdultDad,14,4
1771,Female,0,2004,1,1,405,287,7,4,AdultMum,AdultDad,11,5
1772,Male,0,2004,0,0,362,285,8,4,AdultMum,AdultDad,11,5
1773,Male,0,2004,0,0,580,281,0,4,LambMum,AdultDad,7,5
1774,Female,0,2004,0,0,594,316,0,3,LambMum,AdultDad,1,6
1775,Male,0,2004,0,0,547,468,1,6,AdultMum,AdultDad,8,9
1776,Female,0,2004,0,0,582,312,0,4,LambMum,AdultDad,3,5
1777,Female,0,2004,1,7,455,228,4,8,AdultMum,AdultDad,5,9
1778,Male,0,2004,0,0,421,287,6,4,AdultMum,AdultDad,8,5
1779,Female,0,2004,0,0,442,353,6,6,AdultMum,AdultDad,7,7
1780,Male,0,2004,0,0,451,316,4,3,AdultMum,AdultDad,7,6
1781,Female,0,2004,0,0,548,294,1,4,AdultMum,AdultDad,8,7
1782,Female,0,2004,0,0,568,285,1,4,AdultMum,AdultDad,8,5
1783,Male,0,2004,0,0,395,228,7,8,AdultMum,AdultDad,8,9
1784,Female,0,2004,0,0,333,303,8,4,AdultMum,AdultDad,9,6
1785,Female,0,2004,0,0,255,228,11,8,AdultMum,AdultDad,12,9
1786,Female,0,2004,1,9,440,390,5,1,AdultMum,AdultDad,6,2
1787,Female,0,2004,0,0,579,349,2,5,AdultMum,AdultDad,9,6
1788,Female,0,2004,0,0,575,475,1,1,AdultMum,AdultDad,2,4
1789,Male,0,2004,0,0,479,377,4,1,AdultMum,AdultDad,7,4
1790,Female,0,2004,0,0,450,468,4,6,AdultMum,AdultDad,5,9
1791,Female,0,2004,0,0,318,475,9,1,AdultMum,AdultDad,9,4
1792,Female,0,2004,0,0,626,334,0,3,LambMum,AdultDad,6,4
1793,Male,0,2004,1,2,491,422,3,3,AdultMum,AdultDad,9,4
1794,Female,0,2004,1,9,501,468,3,6,AdultMum,AdultDad,4,9
1795,Male,1,2004,0,0,416,287,6,4,AdultMum,AdultDad,11,5
1796,Female,1,2004,0,0,416,287,6,4,AdultMum,AdultDad,11,5
1797,Female,0,2004,0,0,539,281,1,4,AdultMum,AdultDad,6,5
1798,Female,1,2004,0,0,504,236,3,8,AdultMum,AdultDad,4,8
1799,Female,1,2004,0,0,504,236,3,8,AdultMum,AdultDad,4,8
1800,Male,0,2004,1,7,507,285,3,4,AdultMum,AdultDad,10,5
1801,Male,0,2004,0,0,576,297,1,4,AdultMum,AdultDad,8,7
1802,Female,0,2004,0,0,493,334,3,3,AdultMum,AdultDad,6,4
1803,Female,1,2004,0,0,423,364,6,4,AdultMum,AdultDad,7,7
1804,Female,1,2004,0,0,423,334,6,3,AdultMum,AdultDad,7,4
1805,Male,0,2004,0,0,555,468,1,6,AdultMum,AdultDad,9,9
1806,Female,0,2004,0,0,572,349,1,5,AdultMum,AdultDad,7,6
1807,Male,0,2004,0,0,560,435,1,0,AdultMum,LambDad,9,3
1808,Male,0,2004,0,0,566,349,1,5,AdultMum,AdultDad,8,6
1809,Male,0,2004,0,0,538,393,1,1,AdultMum,AdultDad,2,1
1810,Male,1,2004,0,0,283,416,10,1,AdultMum,AdultDad,11,1
1811,Male,1,2004,0,0,283,312,10,4,AdultMum,AdultDad,11,5
1812,Male,1,2004,0,0,335,285,8,4,AdultMum,AdultDad,9,5
1813,Male,1,2004,0,0,335,287,8,4,AdultMum,AdultDad,9,5
1814,Male,1,2004,0,0,593,465,0,1,LambMum,AdultDad,1,2
1815,Male,1,2004,0,0,285,399,10,1,AdultMum,AdultDad,11,3
1816,Female,1,2004,0,0,437,390,5,1,AdultMum,AdultDad,12,2
1817,Male,1,2004,0,0,437,364,5,4,AdultMum,AdultDad,12,7
1818,Female,0,2004,0,0,561,373,1,1,AdultMum,AdultDad,9,7
1819,Female,0,2004,0,0,389,477,7,3,AdultMum,AdultDad,8,3
1820,Female,0,2004,0,0,495,312,3,4,AdultMum,AdultDad,11,5
1821,Female,0,2004,0,0,515,479,3,5,AdultMum,AdultDad,9,8
1822,Male,0,2004,0,0,510,362,3,3,AdultMum,AdultDad,9,6
1823,Female,0,2004,0,0,426,312,6,4,AdultMum,AdultDad,7,5
1824,Female,0,2004,0,0,536,228,1,8,AdultMum,AdultDad,7,9
1825,Female,0,2004,0,0,470,337,4,3,AdultMum,AdultDad,9,7
1826,Female,1,2004,0,0,459,494,4,3,AdultMum,AdultDad,5,6
1827,Female,1,2004,0,0,459,424,4,0,AdultMum,LambDad,5,8
1828,Male,0,2004,0,0,453,481,4,1,AdultMum,AdultDad,5,7
1829,Male,0,2004,0,0,489,278,5,7,AdultMum,AdultDad,6,8
1830,Male,0,2004,0,0,434,303,5,4,AdultMum,AdultDad,8,6
1831,Male,0,2004,0,0,424,316,6,3,AdultMum,AdultDad,9,6
1832,Male,0,2004,0,0,556,345,1,4,AdultMum,AdultDad,2,5
1833,Female,1,2004,0,0,360,228,8,8,AdultMum,AdultDad,11,9
1834,Female,1,2004,0,0,360,228,8,8,AdultMum,AdultDad,11,9
1835,Female,1,2004,0,0,514,312,3,4,AdultMum,AdultDad,11,5
1836,Male,1,2004,0,0,514,422,3,3,AdultMum,AdultDad,11,4
1837,Female,0,2004,0,0,503,326,3,3,AdultMum,AdultDad,11,10
1838,Male,0,2004,0,0,511,487,3,4,AdultMum,AdultDad,12,7
1839,Male,1,2004,0,0,462,494,4,3,AdultMum,AdultDad,8,6
1840,Female,1,2004,0,0,462,316,4,3,AdultMum,AdultDad,8,6
1841,Male,0,2004,0,0,337,364,8,4,AdultMum,AdultDad,10,7
1842,Male,0,2004,0,0,563,422,1,3,AdultMum,AdultDad,2,4
1843,Male,0,2004,0,0,449,422,4,3,AdultMum,AdultDad,7,4
1844,Female,0,2004,0,0,562,464,1,1,AdultMum,AdultDad,9,1
1845,Female,1,2004,0,0,527,326,3,3,AdultMum,AdultDad,9,10
1846,Female,1,2004,0,0,527,326,3,3,AdultMum,AdultDad,9,10
1847,Female,1,2004,0,0,485,415,4,2,AdultMum,AdultDad,12,3
1848,Male,1,2004,0,0,485,303,4,4,AdultMum,AdultDad,12,6
1849,Male,0,2004,0,0,367,468,8,6,AdultMum,AdultDad,9,9
1850,Female,1,2004,0,0,353,463,8,0,AdultMum,LambDad,11,6
1851,Male,1,2004,0,0,353,328,8,3,AdultMum,AdultDad,11,6
1852,Male,0,2004,0,0,523,508,3,1,AdultMum,AdultDad,8,2
1853,Male,0,2004,0,0,592,477,0,3,LambMum,AdultDad,1,3
1854,Male,0,2004,0,0,474,362,4,3,AdultMum,AdultDad,7,6
